date,geoId/2627440 UnemploymentRate_Person,geoId/2627440 Count_Person_Unemployed
1990-01,5.2,2248
1990-02,4.2,1816
1990-03,4.3,1856
1990-04,3.8,1638
1990-05,3.9,1687
1990-06,4,1757
1990-07,3.8,1650
1990-08,4,1773
1990-09,4.3,1881
1990-10,3.9,1686
1990-11,4,1740
1990-12,3.9,1654
1991-01,4.9,2075
1991-02,5.1,2153
1991-03,5.8,2478
1991-04,4.7,1986
1991-05,5.2,2209
1991-06,5.4,2359
1991-07,5.1,2243
1991-08,5.3,2319
1991-09,5.3,2330
1991-10,5,2178
1991-11,4.9,2121
1991-12,5,2181
1992-01,6.3,2738
1992-02,5.8,2499
1992-03,5.8,2537
1992-04,5,2177
1992-05,5.2,2263
1992-06,6.3,2831
1992-07,5.5,2465
1992-08,5,2259
1992-09,4.8,2127
1992-10,4.3,1896
1992-11,3.8,1695
1992-12,3.8,1705
1993-01,4.2,1836
1993-02,4.1,1806
1993-03,4.2,1841
1993-04,3.7,1614
1993-05,3.7,1658
1993-06,4.2,1895
1993-07,4,1836
1993-08,4.2,1938
1993-09,4.2,1903
1993-10,4.3,1942
1993-11,3.8,1749
1993-12,3.8,1722
1994-01,4.3,1951
1994-02,3.9,1749
1994-03,3.7,1664
1994-04,2.9,1289
1994-05,2.7,1209
1994-06,2.8,1289
1994-07,2.7,1255
1994-08,2.9,1329
1994-09,2.6,1203
1994-10,2.5,1133
1994-11,2,923
1994-12,1.9,872
1995-01,2.7,1240
1995-02,2.6,1198
1995-03,2.8,1290
1995-04,2.5,1137
1995-05,2.5,1133
1995-06,2.9,1311
1995-07,2.5,1165
1995-08,2.4,1093
1995-09,2.2,1012
1995-10,2.1,953
1995-11,2,937
1995-12,2,908
1996-01,2.6,1179
1996-02,2.5,1134
1996-03,3,1407
1996-04,2.1,958
1996-05,2.3,1057
1996-06,2.5,1184
1996-07,2.6,1238
1996-08,2.5,1190
1996-09,2.4,1131
1996-10,2.3,1087
1996-11,2.1,998
1996-12,2.1,970
1997-01,2.7,1281
1997-02,2.5,1177
1997-03,2.5,1197
1997-04,1.9,874
1997-05,1.8,839
1997-06,2.1,994
1997-07,2.1,1029
1997-08,2,986
1997-09,2,953
1997-10,1.9,926
1997-11,1.7,813
1997-12,1.7,802
1998-01,2.2,1069
1998-02,2.1,991
1998-03,2.1,1031
1998-04,1.4,669
1998-05,1.6,763
1998-06,2.2,1081
1998-07,2.5,1225
1998-08,2,971
1998-09,1.9,931
1998-10,1.9,922
1998-11,1.8,876
1998-12,1.9,933
1999-01,2.4,1161
1999-02,2.4,1183
1999-03,2.3,1097
1999-04,1.8,871
1999-05,1.7,821
1999-06,2.1,1027
1999-07,1.9,927
1999-08,1.8,903
1999-09,1.8,887
1999-10,1.8,882
1999-11,1.6,783
1999-12,1.5,732
2000-01,2.3,1055
2000-02,2.1,966
2000-03,2.3,1073
2000-04,1.6,756
2000-05,2.1,950
2000-06,2.5,1158
2000-07,2.6,1201
2000-08,2.5,1168
2000-09,2.2,1016
2000-10,2.1,951
2000-11,2,901
2000-12,2,907
2001-01,3.1,1427
2001-02,2.9,1324
2001-03,3.2,1446
2001-04,2.8,1231
2001-05,2.9,1322
2001-06,3.5,1563
2001-07,3.4,1552
2001-08,3.9,1769
2001-09,3.5,1568
2001-10,3.8,1703
2001-11,4.1,1816
2001-12,3.9,1750
2002-01,4.9,2120
2002-02,4.3,1868
2002-03,4.9,2133
2002-04,4,1745
2002-05,4.3,1875
2002-06,4.9,2158
2002-07,4.7,2074
2002-08,4.3,1908
2002-09,3.9,1707
2002-10,3.9,1732
2002-11,4,1731
2002-12,4,1767
2003-01,4.7,2068
2003-02,4.7,2066
2003-03,4.8,2108
2003-04,4.3,1847
2003-05,4.7,2071
2003-06,5.6,2483
2003-07,5.3,2368
2003-08,4.9,2182
2003-09,4.7,2075
2003-10,4.5,1968
2003-11,4,1755
2003-12,3.9,1683
2004-01,4.7,2043
2004-02,4.6,1975
2004-03,5,2151
2004-04,3.9,1688
2004-05,4.6,1990
2004-06,5.1,2221
2004-07,5.2,2306
2004-08,4.9,2150
2004-09,4.8,2091
2004-10,4.8,2120
2004-11,4.6,2033
2004-12,4.7,2069
2005-01,5,2147
2005-02,5.2,2260
2005-03,5,2163
2005-04,4.4,1911
2005-05,4.6,1990
2005-06,4.9,2150
2005-07,4.8,2127
2005-08,4.3,1907
2005-09,4.3,1899
2005-10,4.1,1790
2005-11,4.2,1835
2005-12,4.2,1823
2006-01,4.8,2045
2006-02,4.9,2123
2006-03,5,2149
2006-04,4.4,1872
2006-05,4.5,1926
2006-06,5,2172
2006-07,5.2,2278
2006-08,5,2163
2006-09,4.8,2076
2006-10,4.3,1885
2006-11,4.3,1860
2006-12,4.4,1901
2007-01,5.1,2153
2007-02,4.7,1977
2007-03,4.7,2008
2007-04,4.3,1815
2007-05,4.5,1930
2007-06,5.2,2239
2007-07,5.4,2342
2007-08,5,2153
2007-09,5.1,2167
2007-10,4.8,2028
2007-11,4.5,1891
2007-12,4.8,2017
2008-01,5.1,2127
2008-02,4.8,1999
2008-03,5.1,2093
2008-04,4.3,1774
2008-05,5.3,2212
2008-06,5.8,2433
2008-07,6.1,2557
2008-08,5.9,2491
2008-09,5.7,2359
2008-10,5.9,2441
2008-11,5.8,2364
2008-12,6.4,2606
2009-01,8.8,3510
2009-02,9.2,3703
2009-03,9.9,3987
2009-04,9.8,3916
2009-05,11.1,4518
2009-06,12.4,5117
2009-07,12.8,5351
2009-08,12,4972
2009-09,11.9,4851
2009-10,11.8,4838
2009-11,11.1,4485
2009-12,11.1,4457
2010-01,8.7,3586
2010-02,8.6,3538
2010-03,8.6,3545
2010-04,7.9,3247
2010-05,7.8,3216
2010-06,8,3321
2010-07,8.3,3480
